district_no,district_name,district_name_french,party_affiliation,party_affiliation_french,last_name,first_name,middle_initial,votes_for
35055,Markham--Thornhill,Markham--Thornhill,Conservative Party of Canada,Parti conservateur du Canada,Easow,Jobson,,
35055,Markham--Thornhill,Markham--Thornhill,Liberal Party of Canada,Parti libéral du Canada,McCallum,John,,
35055,Markham--Thornhill,Markham--Thornhill,Green Party of Canada,Le Parti Vert du Canada,Russell,Joshua,,
35056,Markham--Unionville,Markham--Unionville,Liberal Party of Canada,Parti libéral du Canada,Jiang,Bang-Gu,,
35056,Markham--Unionville,Markham--Unionville,Green Party of Canada,Le Parti Vert du Canada,Kao,Elvin,,
35056,Markham--Unionville,Markham--Unionville,Conservative Party of Canada,Parti conservateur du Canada,Saroya,Bob,,
35056,Markham--Unionville,Markham--Unionville,New Democratic Party,Nouveau Parti démocratique,Zimmerman,Colleen,,
35057,Milton,Milton,New Democratic Party,Nouveau Parti démocratique,Anabusi,Alex,,
35057,Milton,Milton,Green Party of Canada,Le Parti Vert du Canada,Batra,Mini,,
35057,Milton,Milton,Libertarian Party of Canada,Parti Libertarien du Canada,Jewell,Chris,,
35057,Milton,Milton,Conservative Party of Canada,Parti conservateur du Canada,Raitt,Lisa,,
35057,Milton,Milton,Liberal Party of Canada,Parti libéral du Canada,Rizvee,Azim,,
35058,Mississauga Centre,Mississauga-Centre,Liberal Party of Canada,Parti libéral du Canada,Alghabra,Omar,,
35058,Mississauga Centre,Mississauga-Centre,New Democratic Party,Nouveau Parti démocratique,Khan,Farheen,,
35058,Mississauga Centre,Mississauga-Centre,Green Party of Canada,Le Parti Vert du Canada,Nguyen,Linh,,
35058,Mississauga Centre,Mississauga-Centre,Conservative Party of Canada,Parti conservateur du Canada,Tiangson,Julius,,
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Green Party of Canada,Le Parti Vert du Canada,Bhikha,Jaymini,,
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Liberal Party of Canada,Parti libéral du Canada,Fonseca,Peter,,
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Conservative Party of Canada,Parti conservateur du Canada,Lizon,Wladyslaw,,
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville,New Democratic Party,Nouveau Parti démocratique,Naqvi,Ali,,
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Sullivan,Tim,,
35060,Mississauga--Erin Mills,Mississauga--Erin Mills,New Democratic Party,Nouveau Parti démocratique,Bilek,Michelle,,
35060,Mississauga--Erin Mills,Mississauga--Erin Mills,Conservative Party of Canada,Parti conservateur du Canada,Dechert,Bob,,
35060,Mississauga--Erin Mills,Mississauga--Erin Mills,Liberal Party of Canada,Parti libéral du Canada,Khalid,Iqra,,
35060,Mississauga--Erin Mills,Mississauga--Erin Mills,Green Party of Canada,Le Parti Vert du Canada,Roblin,Andrew,,
35061,Mississauga--Lakeshore,Mississauga--Lakeshore,Conservative Party of Canada,Parti conservateur du Canada,Ambler,Stella,,
35061,Mississauga--Lakeshore,Mississauga--Lakeshore,Green Party of Canada,Le Parti Vert du Canada,Burgener,Ariana,,
35061,Mississauga--Lakeshore,Mississauga--Lakeshore,New Democratic Party,Nouveau Parti démocratique,Guerbilsky,Eric,,
35061,Mississauga--Lakeshore,Mississauga--Lakeshore,Liberal Party of Canada,Parti libéral du Canada,Spengemann,Sven,,
35061,Mississauga--Lakeshore,Mississauga--Lakeshore,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Sullivan,Dagmar,,
35061,Mississauga--Lakeshore,Mississauga--Lakeshore,Libertarian Party of Canada,Parti Libertarien du Canada,Woodworth,Paul,,
35062,Mississauga--Malton,Mississauga--Malton,Liberal Party of Canada,Parti libéral du Canada,Bains,Navdeep,,
35062,Mississauga--Malton,Mississauga--Malton,New Democratic Party,Nouveau Parti démocratique,Douglas,Dianne,,
35062,Mississauga--Malton,Mississauga--Malton,Conservative Party of Canada,Parti conservateur du Canada,Grewal,Jagdish,,
35062,Mississauga--Malton,Mississauga--Malton,Green Party of Canada,Le Parti Vert du Canada,Mercer,Heather,,
35062,Mississauga--Malton,Mississauga--Malton,Independent,Indépendant,Tharani,Naresh,,
35063,Mississauga--Streetsville,Mississauga--Streetsville,Conservative Party of Canada,Parti conservateur du Canada,Butt,Brad,,
35063,Mississauga--Streetsville,Mississauga--Streetsville,Green Party of Canada,Le Parti Vert du Canada,Hill,Chris,,
35063,Mississauga--Streetsville,Mississauga--Streetsville,New Democratic Party,Nouveau Parti démocratique,Karim,Fayaz,,
35063,Mississauga--Streetsville,Mississauga--Streetsville,Liberal Party of Canada,Parti libéral du Canada,Sikand,Gagan,,
35063,Mississauga--Streetsville,Mississauga--Streetsville,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Tarazevich,Yegor,,
35064,Nepean,Nepean,Liberal Party of Canada,Parti libéral du Canada,Arya,Chandra,,
35064,Nepean,Nepean,Green Party of Canada,Le Parti Vert du Canada,Cooke,Jean-Luc Roger,,
35064,Nepean,Nepean,Independent,Indépendant,Cosico,Jesus,,
35064,Nepean,Nepean,New Democratic Party,Nouveau Parti démocratique,Devine,Sean,,
35064,Nepean,Nepean,Independent,Indépendant,Mamba,Hubert,,
35064,Nepean,Nepean,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Seed,Tony,,
35064,Nepean,Nepean,Independent,Indépendant,Splett,Harry,,
35064,Nepean,Nepean,Conservative Party of Canada,Parti conservateur du Canada,Wang,Andy,,
35065,Newmarket--Aurora,Newmarket--Aurora,Progressive Canadian Party,Parti Progressiste Canadien,Baxter,Dorian,,
35065,Newmarket--Aurora,Newmarket--Aurora,Conservative Party of Canada,Parti conservateur du Canada,Brown,Lois,,
35065,Newmarket--Aurora,Newmarket--Aurora,New Democratic Party,Nouveau Parti démocratique,Kelly,Yvonne,,
35065,Newmarket--Aurora,Newmarket--Aurora,Green Party of Canada,Le Parti Vert du Canada,Long,Vanessa,,
35065,Newmarket--Aurora,Newmarket--Aurora,Liberal Party of Canada,Parti libéral du Canada,Peterson,Kyle,,
35066,Niagara Centre,Niagara-Centre,New Democratic Party,Nouveau Parti démocratique,Allen,Malcolm,,
35066,Niagara Centre,Niagara-Centre,Liberal Party of Canada,Parti libéral du Canada,Badawey,Vance,,
35066,Niagara Centre,Niagara-Centre,Green Party of Canada,Le Parti Vert du Canada,Clow,David,,
35066,Niagara Centre,Niagara-Centre,Animal Alliance Environment Voters Party of Canada,Animal Alliance Environment Voters Party of Canada,Di Bartolomeo,Jody,,
35066,Niagara Centre,Niagara-Centre,Conservative Party of Canada,Parti conservateur du Canada,Villella,Leanna,,
35066,Niagara Centre,Niagara-Centre,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Walker,Ron J.,,
35067,Niagara Falls,Niagara Falls,New Democratic Party,Nouveau Parti démocratique,Ioannoni,Carolynn,,
35067,Niagara Falls,Niagara Falls,Conservative Party of Canada,Parti conservateur du Canada,Nicholson,Rob,,
35067,Niagara Falls,Niagara Falls,Liberal Party of Canada,Parti libéral du Canada,Planche,Ron,,
35067,Niagara Falls,Niagara Falls,Green Party of Canada,Le Parti Vert du Canada,Soos,Steven,,
35068,Niagara West,Niagara-Ouest,Conservative Party of Canada,Parti conservateur du Canada,Allison,Dean,,
35068,Niagara West,Niagara-Ouest,Libertarian Party of Canada,Parti Libertarien du Canada,de Roo,Allan,,
35068,Niagara West,Niagara-Ouest,Green Party of Canada,Le Parti Vert du Canada,Frere,Sid,,
35068,Niagara West,Niagara-Ouest,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Jonker,Harold,,
35068,Niagara West,Niagara-Ouest,New Democratic Party,Nouveau Parti démocratique,Rahman,Nameer,,
35068,Niagara West,Niagara-Ouest,Liberal Party of Canada,Parti libéral du Canada,Rose,Phil,,
35069,Nickel Belt,Nickel Belt,New Democratic Party,Nouveau Parti démocratique,Gravelle,Claude,,
35069,Nickel Belt,Nickel Belt,Conservative Party of Canada,Parti conservateur du Canada,Laamanen,Aino,,
35069,Nickel Belt,Nickel Belt,Green Party of Canada,Le Parti Vert du Canada,McCall,Stuart,,
35069,Nickel Belt,Nickel Belt,Liberal Party of Canada,Parti libéral du Canada,Serré,Marc G.,,
35069,Nickel Belt,Nickel Belt,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Starbuck,Dave,,
35070,Nipissing--Timiskaming,Nipissing--Timiskaming,Conservative Party of Canada,Parti conservateur du Canada,Aspin,Jay,,
35070,Nipissing--Timiskaming,Nipissing--Timiskaming,New Democratic Party,Nouveau Parti démocratique,Jodouin,Kathleen,,
35070,Nipissing--Timiskaming,Nipissing--Timiskaming,Green Party of Canada,Le Parti Vert du Canada,Peltier,Nicole,,
35070,Nipissing--Timiskaming,Nipissing--Timiskaming,Liberal Party of Canada,Parti libéral du Canada,Rota,Anthony,,
35071,Northumberland--Peterborough South,Northumberland--Peterborough-Sud,New Democratic Party,Nouveau Parti démocratique,Christianson,Russ,,
35071,Northumberland--Peterborough South,Northumberland--Peterborough-Sud,Conservative Party of Canada,Parti conservateur du Canada,Moulton,Adam,,
35071,Northumberland--Peterborough South,Northumberland--Peterborough-Sud,Liberal Party of Canada,Parti libéral du Canada,Rudd,Kim,,
35071,Northumberland--Peterborough South,Northumberland--Peterborough-Sud,Green Party of Canada,Le Parti Vert du Canada,Sinnott,Patricia,,
35072,Oakville,Oakville,Green Party of Canada,Le Parti Vert du Canada,Doel,David,,
35072,Oakville,Oakville,New Democratic Party,Nouveau Parti démocratique,Marville,Che,,
35072,Oakville,Oakville,Liberal Party of Canada,Parti libéral du Canada,Oliver,John,,
35072,Oakville,Oakville,Conservative Party of Canada,Parti conservateur du Canada,Young,Terence,,
35073,Oakville North--Burlington,Oakville-Nord--Burlington,New Democratic Party,Nouveau Parti démocratique,Best,Janice,,
35073,Oakville North--Burlington,Oakville-Nord--Burlington,Libertarian Party of Canada,Parti Libertarien du Canada,Clement,David,,
35073,Oakville North--Burlington,Oakville-Nord--Burlington,Liberal Party of Canada,Parti libéral du Canada,Damoff,Pam,,
35073,Oakville North--Burlington,Oakville-Nord--Burlington,Green Party of Canada,Le Parti Vert du Canada,Shahbaz,Adnan,,
35073,Oakville North--Burlington,Oakville-Nord--Burlington,Conservative Party of Canada,Parti conservateur du Canada,Triantafilopoulos,Effie,,
35074,Oshawa,Oshawa,Conservative Party of Canada,Parti conservateur du Canada,Carrie,Colin,,
35074,Oshawa,Oshawa,Green Party of Canada,Le Parti Vert du Canada,Dempsey,Michael,,
35074,Oshawa,Oshawa,New Democratic Party,Nouveau Parti démocratique,Fowler,Mary,,
35074,Oshawa,Oshawa,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Gershuny,David,,
35074,Oshawa,Oshawa,Liberal Party of Canada,Parti libéral du Canada,Marimpietri,Tito-Dante,,
35075,Ottawa Centre,Ottawa-Centre,Marijuana Party,Parti Marijuana,Akpata,John Andrew Omowole,,
35075,Ottawa Centre,Ottawa-Centre,New Democratic Party,Nouveau Parti démocratique,Dewar,Paul,,
35075,Ottawa Centre,Ottawa-Centre,Libertarian Party of Canada,Parti Libertarien du Canada,Harris,Dean T.,,
35075,Ottawa Centre,Ottawa-Centre,Conservative Party of Canada,Parti conservateur du Canada,Konstantinakos,Damian,,
35075,Ottawa Centre,Ottawa-Centre,Rhinoceros Party,Parti Rhinocéros,Lukawski,Conrad,,
35075,Ottawa Centre,Ottawa-Centre,Liberal Party of Canada,Parti libéral du Canada,McKenna,Catherine Mary,,
35075,Ottawa Centre,Ottawa-Centre,Green Party of Canada,Le Parti Vert du Canada,Milroy,Tom,,
35075,Ottawa Centre,Ottawa-Centre,Communist Party of Canada,Parti communiste du Canada,Ryan,Stuart,,
35076,Orléans,Orléans,Conservative Party of Canada,Parti conservateur du Canada,Galipeau,Royal,,
35076,Orléans,Orléans,Liberal Party of Canada,Parti libéral du Canada,Leslie,Andrew,,
35076,Orléans,Orléans,Green Party of Canada,Le Parti Vert du Canada,Morin,Raphaël,,
35076,Orléans,Orléans,New Democratic Party,Nouveau Parti démocratique,Tremblay,Nancy,,
35077,Ottawa South,Ottawa-Sud,Conservative Party of Canada,Parti conservateur du Canada,Balkissoon,Dev,,
35077,Ottawa South,Ottawa-Sud,New Democratic Party,Nouveau Parti démocratique,Brown,George,,
35077,Ottawa South,Ottawa-Sud,Progressive Canadian Party,Parti Progressiste Canadien,Gullon,Al,,
35077,Ottawa South,Ottawa-Sud,Liberal Party of Canada,Parti libéral du Canada,McGuinty,David,,
35077,Ottawa South,Ottawa-Sud,Green Party of Canada,Le Parti Vert du Canada,Redins,John,,
35077,Ottawa South,Ottawa-Sud,Communist Party of Canada,Parti communiste du Canada,Wasslen,Larry,,
35077,Ottawa South,Ottawa-Sud,Libertarian Party of Canada,Parti Libertarien du Canada,Wilson,Damien,,
35078,Ottawa--Vanier,Ottawa--Vanier,Liberal Party of Canada,Parti libéral du Canada,Bélanger,Mauril,,
35078,Ottawa--Vanier,Ottawa--Vanier,Libertarian Party of Canada,Parti Libertarien du Canada,Corcoran,Coreen,,
35078,Ottawa--Vanier,Ottawa--Vanier,Green Party of Canada,Le Parti Vert du Canada,Dookeran,Nira,,
35078,Ottawa--Vanier,Ottawa--Vanier,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Legeais,Christian,,
35078,Ottawa--Vanier,Ottawa--Vanier,Conservative Party of Canada,Parti conservateur du Canada,Piccini,David,,
35078,Ottawa--Vanier,Ottawa--Vanier,New Democratic Party,Nouveau Parti démocratique,Taman,Emilie,,
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Conservative Party of Canada,Parti conservateur du Canada,Abdi,Abdul,,
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Green Party of Canada,Le Parti Vert du Canada,Brooks,Mark,,
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Heaton,Sam,,
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean,New Democratic Party,Nouveau Parti démocratique,Rivier,Marlene,,
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Taylor,Rod,,
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Liberal Party of Canada,Parti libéral du Canada,Vandenbeld,Anita,,
35080,Oxford,Oxford,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Aldred,Melody Ann,,
35080,Oxford,Oxford,Green Party of Canada,Le Parti Vert du Canada,Farlow,Mike,,
35080,Oxford,Oxford,New Democratic Party,Nouveau Parti démocratique,Kunschner,Zoe,,
35080,Oxford,Oxford,Conservative Party of Canada,Parti conservateur du Canada,MacKenzie,Dave,,
35080,Oxford,Oxford,Liberal Party of Canada,Parti libéral du Canada,McKay,Don,,
35081,Parkdale--High Park,Parkdale--High Park,Conservative Party of Canada,Parti conservateur du Canada,Allen,Ian,,
35081,Parkdale--High Park,Parkdale--High Park,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Gershuny,Lorne,,
35081,Parkdale--High Park,Parkdale--High Park,Libertarian Party of Canada,Parti Libertarien du Canada,Jeftovic,Mark,,
35081,Parkdale--High Park,Parkdale--High Park,New Democratic Party,Nouveau Parti démocratique,Nash,Peggy,,
35081,Parkdale--High Park,Parkdale--High Park,Marijuana Party,Parti Marijuana,Parker,Terry,,
35081,Parkdale--High Park,Parkdale--High Park,Green Party of Canada,Le Parti Vert du Canada,Phipps,Adam,,
35081,Parkdale--High Park,Parkdale--High Park,Independent,Indépendant,Royer,Carol,,
35081,Parkdale--High Park,Parkdale--High Park,Liberal Party of Canada,Parti libéral du Canada,Virani,Arif,,
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,Pirate Party of Canada,Parti Pirate du Canada,Bell,Duncan,,
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,Conservative Party of Canada,Parti conservateur du Canada,Clement,Tony,,
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,Liberal Party of Canada,Parti libéral du Canada,Cowie,Trisha,,
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,Green Party of Canada,Le Parti Vert du Canada,Hodgson,Glen,,
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,New Democratic Party,Nouveau Parti démocratique,McCarthy,Matt,,
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,Canadian Action Party,Parti action canadienne,Merton,Gordie,,
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Smith,Albert Gray,,
35083,Perth--Wellington,Perth--Wellington,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,DeVries,Irma,,
35083,Perth--Wellington,Perth--Wellington,No Affiliation,Aucune appartenance,Fuhr,Roger,,
35083,Perth--Wellington,Perth--Wellington,Liberal Party of Canada,Parti libéral du Canada,McCotter,Stephen,,
35083,Perth--Wellington,Perth--Wellington,Conservative Party of Canada,Parti conservateur du Canada,Nater,John,,
35083,Perth--Wellington,Perth--Wellington,New Democratic Party,Nouveau Parti démocratique,Rabidoux,Ethan,,
35083,Perth--Wellington,Perth--Wellington,Green Party of Canada,Le Parti Vert du Canada,Ramsdale,Nicole,,
35084,Peterborough--Kawartha,Peterborough--Kawartha,Forces et Démocratie,Forces et Démocratie,Leckie,Toban,,
35084,Peterborough--Kawartha,Peterborough--Kawartha,Green Party of Canada,Le Parti Vert du Canada,Mason,Doug,,
35084,Peterborough--Kawartha,Peterborough--Kawartha,Liberal Party of Canada,Parti libéral du Canada,Monsef,Maryam,,
35084,Peterborough--Kawartha,Peterborough--Kawartha,New Democratic Party,Nouveau Parti démocratique,Nickle,Dave,,
35084,Peterborough--Kawartha,Peterborough--Kawartha,Conservative Party of Canada,Parti conservateur du Canada,Skinner,Michael,,
35085,Pickering--Uxbridge,Pickering--Uxbridge,Conservative Party of Canada,Parti conservateur du Canada,Chisu,Corneliu,,
35085,Pickering--Uxbridge,Pickering--Uxbridge,New Democratic Party,Nouveau Parti démocratique,Downward,Pamela,,
35085,Pickering--Uxbridge,Pickering--Uxbridge,Green Party of Canada,Le Parti Vert du Canada,Navarro,Anthony Jordan,,
35085,Pickering--Uxbridge,Pickering--Uxbridge,Liberal Party of Canada,Parti libéral du Canada,O'Connell,Jennifer,,
35086,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,Independent,Indépendant,Clouthier,Hector,,
35086,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,Conservative Party of Canada,Parti conservateur du Canada,Gallant,Cheryl,,
35086,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,Green Party of Canada,Le Parti Vert du Canada,Klietsch,Stefan,,
35086,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,Liberal Party of Canada,Parti libéral du Canada,Lehoux,Jeff,,
35086,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,New Democratic Party,Nouveau Parti démocratique,McCarthy,Dan,,
35087,Richmond Hill,Richmond Hill,New Democratic Party,Nouveau Parti démocratique,DeVita,Adam,,
35087,Richmond Hill,Richmond Hill,Liberal Party of Canada,Parti libéral du Canada,Jowhari,Majid,,
35087,Richmond Hill,Richmond Hill,Conservative Party of Canada,Parti conservateur du Canada,Parsa,Michael,,
35087,Richmond Hill,Richmond Hill,Green Party of Canada,Le Parti Vert du Canada,Veenema,Gwendolyn,,
35088,Carleton,Carleton,Green Party of Canada,Le Parti Vert du Canada,Coyne,Deborah,,
35088,Carleton,Carleton,New Democratic Party,Nouveau Parti démocratique,Larocque,Kc,,
35088,Carleton,Carleton,Conservative Party of Canada,Parti conservateur du Canada,Poilievre,Pierre,,
35088,Carleton,Carleton,Liberal Party of Canada,Parti libéral du Canada,Rodgers,Chris,,
35089,St. Catharines,St. Catharines,Liberal Party of Canada,Parti libéral du Canada,Bittle,Chris,,
35089,St. Catharines,St. Catharines,Conservative Party of Canada,Parti conservateur du Canada,Dykstra,Rick,,
35089,St. Catharines,St. Catharines,New Democratic Party,Nouveau Parti démocratique,Erskine-Fournier,Susan,,
35089,St. Catharines,St. Catharines,Green Party of Canada,Le Parti Vert du Canada,Fannon,Jim,,
35089,St. Catharines,St. Catharines,Communist Party of Canada,Parti communiste du Canada,Waziruddin,Saleh,,
35090,Toronto--St. Paul's,Toronto--St. Paul's,Liberal Party of Canada,Parti libéral du Canada,Bennett,Carolyn,,
35090,Toronto--St. Paul's,Toronto--St. Paul's,Green Party of Canada,Le Parti Vert du Canada,Farmer,Kevin,,
35090,Toronto--St. Paul's,Toronto--St. Paul's,Conservative Party of Canada,Parti conservateur du Canada,MacDougall,Marnie,,
35090,Toronto--St. Paul's,Toronto--St. Paul's,New Democratic Party,Nouveau Parti démocratique,Richler,Noah,,
35091,Sarnia--Lambton,Sarnia--Lambton,Conservative Party of Canada,Parti conservateur du Canada,Gladu,Marilyn,,
35091,Sarnia--Lambton,Sarnia--Lambton,New Democratic Party,Nouveau Parti démocratique,McMichael,Jason Wayne,,
35091,Sarnia--Lambton,Sarnia--Lambton,Liberal Party of Canada,Parti libéral du Canada,McPhail,Dave,,
35091,Sarnia--Lambton,Sarnia--Lambton,Green Party of Canada,Le Parti Vert du Canada,Smith,Peter,,
35092,Sault Ste. Marie,Sault Ste. Marie,Green Party of Canada,Le Parti Vert du Canada,Flannigan,Kara,,
35092,Sault Ste. Marie,Sault Ste. Marie,Conservative Party of Canada,Parti conservateur du Canada,Hayes,Bryan,,
35092,Sault Ste. Marie,Sault Ste. Marie,New Democratic Party,Nouveau Parti démocratique,Morrison,Skip,,
35092,Sault Ste. Marie,Sault Ste. Marie,Liberal Party of Canada,Parti libéral du Canada,Sheehan,Terry,,
35092,Sault Ste. Marie,Sault Ste. Marie,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Taffarel,Mike,,
35093,Scarborough--Agincourt,Scarborough--Agincourt,Liberal Party of Canada,Parti libéral du Canada,Chan,Arnold,,
35093,Scarborough--Agincourt,Scarborough--Agincourt,Conservative Party of Canada,Parti conservateur du Canada,Chang,Bin,,
35093,Scarborough--Agincourt,Scarborough--Agincourt,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Coutinho,Jude,,
35093,Scarborough--Agincourt,Scarborough--Agincourt,New Democratic Party,Nouveau Parti démocratique,Patrick,Laura,,
35093,Scarborough--Agincourt,Scarborough--Agincourt,Green Party of Canada,Le Parti Vert du Canada,Scott,Debra,,
35094,Scarborough Centre,Scarborough-Centre,Libertarian Party of Canada,Parti Libertarien du Canada,Androutsos,Katerina,,
35094,Scarborough Centre,Scarborough-Centre,Conservative Party of Canada,Parti conservateur du Canada,James,Roxanne,,
35094,Scarborough Centre,Scarborough-Centre,Green Party of Canada,Le Parti Vert du Canada,Thompson,Lindsay,,
35094,Scarborough Centre,Scarborough-Centre,New Democratic Party,Nouveau Parti démocratique,Wilson,Alex,,
35094,Scarborough Centre,Scarborough-Centre,Liberal Party of Canada,Parti libéral du Canada,Zahid,Salma,,
35095,Scarborough--Guildwood,Scarborough--Guildwood,New Democratic Party,Nouveau Parti démocratique,Casselman,Laura,,
35095,Scarborough--Guildwood,Scarborough--Guildwood,Independent,Indépendant,Clarke,Kevin,,
35095,Scarborough--Guildwood,Scarborough--Guildwood,Marijuana Party,Parti Marijuana,Coulbeck,Paul,,
35095,Scarborough--Guildwood,Scarborough--Guildwood,Green Party of Canada,Le Parti Vert du Canada,Holding,Kathleen,,
35095,Scarborough--Guildwood,Scarborough--Guildwood,Conservative Party of Canada,Parti conservateur du Canada,Konkel,Chuck,,
35095,Scarborough--Guildwood,Scarborough--Guildwood,Liberal Party of Canada,Parti libéral du Canada,McKay,John,,
35096,Scarborough North,Scarborough-Nord,Liberal Party of Canada,Parti libéral du Canada,Chen,Shaun,,
35096,Scarborough North,Scarborough-Nord,Independent,Indépendant,Khatoon,Aasia,,
35096,Scarborough North,Scarborough-Nord,Green Party of Canada,Le Parti Vert du Canada,MacDonald,Eleni,,
35096,Scarborough North,Scarborough-Nord,Conservative Party of Canada,Parti conservateur du Canada,Malhi,Ravinder,,
35096,Scarborough North,Scarborough-Nord,Independent,Indépendant,Rosch,Raphael,,
35096,Scarborough North,Scarborough-Nord,New Democratic Party,Nouveau Parti démocratique,Sitsabaiesan,Rathika,,
35097,Scarborough--Rouge Park,Scarborough--Rouge Park,Liberal Party of Canada,Parti libéral du Canada,Anandasangaree,Gary,,
35097,Scarborough--Rouge Park,Scarborough--Rouge Park,Conservative Party of Canada,Parti conservateur du Canada,Lewis,Leslyn,,
35097,Scarborough--Rouge Park,Scarborough--Rouge Park,New Democratic Party,Nouveau Parti démocratique,Shanthikumar,KM,,
35097,Scarborough--Rouge Park,Scarborough--Rouge Park,Green Party of Canada,Le Parti Vert du Canada,Winter,Calvin,,
35098,Scarborough Southwest,Scarborough-Sud-Ouest,Liberal Party of Canada,Parti libéral du Canada,Blair,Bill,,
35098,Scarborough Southwest,Scarborough-Sud-Ouest,New Democratic Party,Nouveau Parti démocratique,Harris,Dan,,
35098,Scarborough Southwest,Scarborough-Sud-Ouest,Conservative Party of Canada,Parti conservateur du Canada,Nallaratnam,Roshan,,
35098,Scarborough Southwest,Scarborough-Sud-Ouest,Green Party of Canada,Le Parti Vert du Canada,Taylor,Tommy,,
35099,Simcoe--Grey,Simcoe--Grey,Green Party of Canada,Le Parti Vert du Canada,Fleming,JoAnne,,
35099,Simcoe--Grey,Simcoe--Grey,Conservative Party of Canada,Parti conservateur du Canada,Leitch,Kellie,,
35099,Simcoe--Grey,Simcoe--Grey,Liberal Party of Canada,Parti libéral du Canada,MacEachern,Mike,,
35099,Simcoe--Grey,Simcoe--Grey,New Democratic Party,Nouveau Parti démocratique,Matthews,David,,
35099,Simcoe--Grey,Simcoe--Grey,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Noordegraaf,Len,,
35100,Simcoe North,Simcoe-Nord,New Democratic Party,Nouveau Parti démocratique,Banigan,Richard,,
35100,Simcoe North,Simcoe-Nord,No Affiliation,Aucune appartenance,Kearey-Moreland,Jacob,,
35100,Simcoe North,Simcoe-Nord,Liberal Party of Canada,Parti libéral du Canada,Riley,Liz,,
35100,Simcoe North,Simcoe-Nord,Conservative Party of Canada,Parti conservateur du Canada,Stanton,Bruce,,
35100,Simcoe North,Simcoe-Nord,Green Party of Canada,Le Parti Vert du Canada,Stubbins,Peter,,
35100,Simcoe North,Simcoe-Nord,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Whittaker,Scott,,
35101,Spadina--Fort York,Spadina--Fort York,New Democratic Party,Nouveau Parti démocratique,Chow,Olivia,,
35101,Spadina--Fort York,Spadina--Fort York,Green Party of Canada,Le Parti Vert du Canada,Danley,Sharon,,
35101,Spadina--Fort York,Spadina--Fort York,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Lin,Nick,,
35101,Spadina--Fort York,Spadina--Fort York,"Party for Accountability, Competency and Transparency","Parti pour la Responsabilisation, la Compétence et la Transparence",Nicula,Michael,,
35101,Spadina--Fort York,Spadina--Fort York,Liberal Party of Canada,Parti libéral du Canada,Vaughan,Adam,,
35101,Spadina--Fort York,Spadina--Fort York,Conservative Party of Canada,Parti conservateur du Canada,Zuniga,Sabrina,,
35102,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,New Democratic Party,Nouveau Parti démocratique,Burger,Patrick,,
